"sample_name","replicate","pool","batch","peak","RT_t0","RT_t24","Area_t0","Area_t24","metric","value","median_value","iqr_value"
"AB","1","p1","b1","capecitabine",14.9,14.9,11,12.4,"relative_removal",-12.7272727272727,7.41268984658084,9.98375208669325
"AB","1","p1","b2","capecitabine",14.9,14.9,10.9,10.2,"relative_removal",6.42201834862386,7.41268984658084,9.98375208669325
"AB","1","p1","b3","capecitabine",14.9,14.9,12,9,"relative_removal",25,7.41268984658084,9.98375208669325
"AB","1","p1","b4","capecitabine",14.9,14.9,10.8,10.6,"relative_removal",1.85185185185186,7.41268984658084,9.98375208669325
"AB","1","p2","b1","dasatinib",NA,NA,11.75,4.5,"relative_removal",61.7021276595745,56.312769010043,24.9941520175499
"AB","1","p2","b1","metoclopramide",11.6,11.8,23.6,11.9,"relative_removal",49.5762711864407,-0.854700854700859,24.7533535719795
"AB","1","p2","b2","dasatinib",NA,NA,8.95,1.95,"relative_removal",78.2122905027933,56.312769010043,24.9941520175499
"AB","1","p2","b2","metoclopramide",11.7,11.8,11.7,11.9,"relative_removal",-1.70940170940172,-0.854700854700859,24.7533535719795
"AB","1","p2","b3","dasatinib",NA,NA,10.2,4.6,"relative_removal",54.9019607843137,56.312769010043,24.9941520175499
"AB","1","p2","b3","metoclopramide",11.7,11.7,12.2,10.9,"relative_removal",10.655737704918,-0.854700854700859,24.7533535719795
"AB","1","p2","b4","dasatinib",NA,NA,9.7,2.65,"relative_removal",72.680412371134,56.312769010043,24.9941520175499
"AB","1","p2","b4","metoclopramide",11.7,11.7,12.5,13.8,"relative_removal",-10.4,-0.854700854700859,24.7533535719795
"AB","2","p1","b1","capecitabine",14.7,14.7,11.9,10.9,"relative_removal",8.40336134453781,7.41268984658084,9.98375208669325
"AB","2","p1","b2","capecitabine",14.9,14.9,10,8.8,"relative_removal",12,7.41268984658084,9.98375208669325
"AB","2","p1","b3","capecitabine",14.7,14.7,9.3,8.2,"relative_removal",11.8279569892473,7.41268984658084,9.98375208669325
"AB","2","p1","b4","capecitabine",14.8,14.8,11.9,10.4,"relative_removal",12.6050420168067,7.41268984658084,9.98375208669325
"AB","2","p2","b1","dasatinib",NA,NA,12.3,5.2,"relative_removal",57.7235772357724,56.312769010043,24.9941520175499
"AB","2","p2","b1","metoclopramide",11.6,11.7,20.2,11.7,"relative_removal",42.0792079207921,-0.854700854700859,24.7533535719795
"AB","2","p2","b2","dasatinib",NA,NA,5.95,5.2,"relative_removal",12.6050420168067,56.312769010043,24.9941520175499
"AB","2","p2","b2","metoclopramide",11.6,11.7,9.7,12.1,"relative_removal",-24.7422680412371,-0.854700854700859,24.7533535719795
