"sample_name","replicate","pool","batch","peak","RT_t0","RT_t24","Area_t0","Area_t24","metric","value","median_value","iqr_value"
"AB","1","p1","b1","diuron",17.8,17.7,21,28.5,"relative_removal",-35.7142857142857,-3.57381843416194,34.1542471735578
"AB","1","p1","b1","vorinostat",13.4,13.4,10.7,12.9,"relative_removal",-20.5607476635514,0.423728813559328,15.1807152345323
"AB","1","p1","b2","diuron",17.7,17.7,25.7,25.9,"relative_removal",-0.778210116731515,-3.57381843416194,34.1542471735578
"AB","1","p1","b2","vorinostat",13.4,NA,10.5,0,"relative_removal",100,0.423728813559328,15.1807152345323
"AB","1","p1","b3","diuron",17.7,17.8,28.6,20.1,"relative_removal",29.7202797202797,-3.57381843416194,34.1542471735578
"AB","1","p1","b3","vorinostat",13.4,13.4,11.9,10.1,"relative_removal",15.1260504201681,0.423728813559328,15.1807152345323
"AB","1","p1","b4","diuron",17.7,17.7,23.9,28.3,"relative_removal",-18.4100418410042,-3.57381843416194,34.1542471735578
"AB","1","p1","b4","vorinostat",13.4,13.4,10.8,11.8,"relative_removal",-9.25925925925926,0.423728813559328,15.1807152345323
"AB","1","p2","b1","acetylsulfamethoxazole",13.8,14,37.3,19.7,"relative_removal",47.1849865951743,4.07235142118863,13.7733742388178
"AB","1","p2","b1","atorvastatin",20.9,21.2,46.6,21,"relative_removal",54.9356223175966,2.16117216117217,29.1757085158817
"AB","1","p2","b1","propanil",19,19.2,39.3,17.3,"relative_removal",55.9796437659033,23.2156906822524,58.5815340377384
"AB","1","p2","b2","acetylsulfamethoxazole",13.8,14,20.3,19,"relative_removal",6.40394088669951,4.07235142118863,13.7733742388178
"AB","1","p2","b2","atorvastatin",20.9,21.2,21,20.2,"relative_removal",3.80952380952381,2.16117216117217,29.1757085158817
"AB","1","p2","b2","propanil",19,19.2,17,7.1,"relative_removal",58.2352941176471,23.2156906822524,58.5815340377384
"AB","1","p2","b3","acetylsulfamethoxazole",13.8,14,20.7,21.2,"relative_removal",-2.41545893719807,4.07235142118863,13.7733742388178
"AB","1","p2","b3","atorvastatin",20.9,21.2,23.4,22.3,"relative_removal",4.70085470085469,2.16117216117217,29.1757085158817
"AB","1","p2","b3","propanil",19,19.2,20.5,17.5,"relative_removal",14.6341463414634,23.2156906822524,58.5815340377384
"AB","1","p2","b4","acetylsulfamethoxazole",14,14,20.9,20.5,"relative_removal",1.91387559808612,4.07235142118863,13.7733742388178
"AB","1","p2","b4","atorvastatin",21.2,21.2,24.7,24.6,"relative_removal",0.404858299595133,2.16117216117217,29.1757085158817
"AB","1","p2","b4","propanil",19.2,19.2,21.7,14.8,"relative_removal",31.7972350230415,23.2156906822524,58.5815340377384
"AB","2","p1","b1","diuron",17.5,17.5,24.5,23.4,"relative_removal",4.48979591836735,-3.57381843416194,34.1542471735578
"AB","2","p1","b1","vorinostat",13.3,13.3,11.8,11.6,"relative_removal",1.6949152542373,0.423728813559328,15.1807152345323
"AB","2","p1","b2","diuron",17.8,17.8,15.7,16.7,"relative_removal",-6.36942675159236,-3.57381843416194,34.1542471735578
"AB","2","p1","b2","vorinostat",13.4,13.4,9.9,9.4,"relative_removal",5.05050505050505,0.423728813559328,15.1807152345323
"AB","2","p1","b3","diuron",17.5,17.5,12,16.7,"relative_removal",-39.1666666666667,-3.57381843416194,34.1542471735578
"AB","2","p1","b3","vorinostat",13.3,13.3,9.3,9.3,"relative_removal",0,0.423728813559328,15.1807152345323
"AB","2","p1","b4","diuron",17.6,17.6,29.1,27.1,"relative_removal",6.87285223367698,-3.57381843416194,34.1542471735578
"AB","2","p1","b4","vorinostat",13.3,13.3,11.8,11.7,"relative_removal",0.847457627118656,0.423728813559328,15.1807152345323
"AB","2","p2","b1","acetylsulfamethoxazole",13.8,13.8,36.5,19.8,"relative_removal",45.7534246575342,4.07235142118863,13.7733742388178
"AB","2","p2","b1","atorvastatin",20.9,20.9,44.2,22.9,"relative_removal",48.1900452488688,2.16117216117217,29.1757085158817
"AB","2","p2","b1","propanil",19,19,39.6,18.9,"relative_removal",52.2727272727273,23.2156906822524,58.5815340377384
"AB","2","p2","b2","acetylsulfamethoxazole",13.8,13.8,21.5,20.1,"relative_removal",6.51162790697674,4.07235142118863,13.7733742388178
"AB","2","p2","b2","atorvastatin",20.9,20.9,16.6,21.8,"relative_removal",-31.3253012048193,2.16117216117217,29.1757085158817
"AB","2","p2","b2","propanil",18.9,19,9.3,18.1,"relative_removal",-94.6236559139785,23.2156906822524,58.5815340377384
"AB","2","p2","b3","acetylsulfamethoxazole",13.9,13.9,22.5,21.4,"relative_removal",4.8888888888889,4.07235142118863,13.7733742388178
"AB","2","p2","b3","atorvastatin",21.1,21.1,19.2,19.4,"relative_removal",-1.04166666666666,2.16117216117217,29.1757085158817
